Index,Clue,Solution,Spaced_Solution
77958,"Make merry, as lyricist bags English girl",rejoice,rejoice
14704,French model Nicole stripped for casting?,clio,clio
41007,English tea break keeps US workers involved,elaborate,elaborate
36206,"Recalled shorter answer, stuck with leading pair from Audreus, in the bath!",sauna,sauna
67521,Attempt to cage wolf in peace deal,treaty,treaty
141737,New painting captures Queen - that's concerning,pertaining,pertaining
63400,Leading Republicans' euphemism naively downplaying illegal torture in other nations,rendition,rendition
67987,Fighter pilot with boat crew,flyweight,flyweight
25488,No encore for such a performance? That's gross!,unrepeatable,unrepeatable
98213,Explorer is eating last of the sledge dogs,scotties,scotties
31326,"King Lear's opening, rubbish",offal,offal
44343,One is well rid of it,illhealth,ill health
74878,"It could be eaten sailing, or it could be sweeping",generalisation,generalisation
96863,Woman kept by journalist enters hard work with toy animal,sleevedog,sleeve dog
80036,A lot of filth by leader of Lords causes brief storm,squall,squall
77968,Hollywood's top director exhibiting arrogance,hauteur,hauteur
90158,Soldiers follow one in specialist trial,experiment,experiment
125198,Awkward to do then with precision,onthedot,on the dot
122902,"Following closely, a lot on site for development",nosetotail,nose to tail
22793,Left before recess - a blunder,lapse,lapse
43716,Carry round goods for one who can't afford them,beggar,beggar
76833,"Supply what was wanted, for instance, including clenched fist?",satisfy,satisfy
84706,Get lady confused with poet,lydgate,lydgate
130622,"In front of mirror, taking advantage of reflection",musing,musing
46932,Relief organisation for the hot and peevish?,redcross,red cross
126022,Becoming attached to band after getting head turned,adhering,adhering
114096,Woman takes motorway into city,emily,emily
71144,"Some papers are amusing, to some extent",ream,ream
141355,Mars - a visit (ET) to be arranged?,vitiates,vitiates
58597,"Cloak for wife, South African style",capedutch,cape dutch
28713,He will see what others have to say,lipreader,lip reader
109433,"Doing backstroke, swim round lake with fish - such as this",pilchard,pilchard
54368,Sound beast carrying rubbish carrier,orthodox,orthodox
123944,People wanting a new landlord,publican,publican
55185,Meet with elected scoundrel,incur,incur
38004,Rude and very Scottish sort of hut,uncouth,uncouth
53082,"Talented Lib Dem, no longer the leader",able,able
124133,"Impure, I quietly run away and sleep at home when he calls",muezzin,muezzin
60250,"Begin to sparkle, as smoker might?",lightup,light up
108914,"Construct a house as advertised, we hear",build,build
989,Revolutionary with fish head to cook,chef,chef
67503,Engineer left broadcasting: one's unable to stick it,teflon,teflon
5855,Unwanted growth has proceeded round the whole street,gallstone,gallstone
105452,Criminal underground starts many a feud in America,mafia,mafia
56720,A driven out intruder,invader,invader
22400,The foreign fashion revealed by a singing John,elton,elton
85136,Drink order placed in ancient language,homebrew,home brew
82285,A little animal taken in island,malta,malta
29650,Parody about Liberal providing winter sports facility,skilift,ski lift
104651,Silly gag about Wossy's comeback - he started it!,aggressor,aggressor
93785,Gas enveloping a part of Spain,aragon,aragon
6344,Team given extra exam,elevenplus,eleven plus
43035,Strikers going round pit take a dip,pickpocket,pickpocket
118953,Something added on the end of affectionate princess's letter?,annex,annex
111529,A venerable name in our illustrious past,bede,bede
4515,Seed that's old removed from a loch,almond,almond
114711,Work's inside and out which is good for plant,topsoil,topsoil
136938,Billionaire's first to not offer tip in bar,blacklist,blacklist
16704,Aim by listener to win affection,endear,endear
102993,Irish operator is such a person in trade,shopkeeper,shopkeeper
9830,Insect biting back inside cave,beware,beware
60087,"Robson beating Williams, for example, winning at least six games",upset,upset
51355,Stay faithful,staunch,staunch
89120,"Likely to give an answer, especially in revised version",responsive,responsive
133412,Bluish-grey bench one removed from row,pewter,pewter
79822,Supporters with lots of hard facts,brasstacks,brass tacks
123901,You'll find me introducing very French measures,metres,metres
60795,Plant fruit trees here? One for middle of park,orchid,orchid
95541,The girl to take action,sue,sue
20070,"Condemned? Not right, put on trial",accused,accused
17555,A band from the capital to boot,also,also
89473,Bush harbours condition that's half Arab offered,gifthorse,gift horse
106550,Does up building that's not authentic,pseudo,pseudo
87740,Prejudice runs riot - body of law needed,jurisprudence,jurisprudence
25097,The temporary accommodation I have outside the army is not definite,tentative,tentative
54498,Horse put in pen to struggle,writhe,writhe
46034,Relative of the weasel even more outrageous?,otter,otter
70853,Dubious heirs to Switzerland's treasure,cherish,cherish
33639,Running for the job,operation,operation
78895,"Time to give the ticker a boost, having it off with Gladys",daylightsaving,daylight saving
110152,Paying customer to make severe criticism about rotten first half performance,patron,patron
80555,Otherwise take railroad to the Home Counties,else,else
27594,Look over tower,keep,keep
57659,"Just once, do put one out!",exactly,exactly
88028,"Redeemed, made amends or converted",ransomed,ransomed
98121,Christian beginning to pray in bed,copt,copt
87570,Daughter's body clock determines when to have food,dinnertime,dinner time
20040,Mackerel bait?,sprat,sprat
75686,I hold teaching qualification - fix?,imbed,imbed
29298,A hazard on the table or in the field,potshot,pot shot
62073,"Flawed agate, black inside, is soaked in boiling water",teabag,tea bag
16044,Old king of note,offa,offa
21194,Grass performing well?,inform,inform
130077,Journalists who keep saying cutting things,hacksaws,hacksaws
6979,"Wreck's sunk into ground, obviously",undo,undo
61280,Dishonest proclivity,bent,bent
79084,"When free, retire to a place abroad",eritrea,eritrea
10881,Partners who dance up in close formation,couples,couples
43852,Creating anger over maximum flight distance,range,range
122957,Sex in Esquire's spread needs …,requisites,requisites
118050,Feature of stern father is bottling up love,poop,poop
34948,Revolutionary coming back to eat pub grub?,dinner,dinner
82689,"One sport he worked on, nearing defeat",ontheropes,on the ropes
17240,In which pupil appears to flag,iris,iris
117543,Boatman gets his first crop on the wagon,boatswain,boatswain
102073,Work out cricket team's not old,suss,suss
9656,Belief which may be taken up,tenet,tenet
33671,Bunny Lake is back and embraced as a formality,ceremony,ceremony
110327,Revelations of secret trips,outings,outings
110318,Homes established in a partnership,nests,nests
2439,Fight possibly rigged,spar,spar
103051,Unusually precise about line for title role,pericles,pericles
103296,Pressing suit with the devil,impaction,impaction
101548,Like warning Liberal about vote,forexample,for example
119257,Andy Murray's traditional outfit has no length for tackle,kit,kit
15125,"Curved member made of wood, say",bowleg,bow leg
134696,"Queen keeled over during a function, one of two in Ulster, perhaps",armhole,armhole
25878,"Time saved by unscrambling of a Gemini crossword, primarily cryptic",enigmatic,enigmatic
67914,Single swimmer's base,sole,sole
140821,"Rich with a hundred, in truth",fact,fact
109614,"The way things stand, a strike's not new",asitis,as it is
61982,Secret drinker comes to earth in Morecambe?,esoteric,esoteric
26759,General concession,grant,grant
66165,Fearing degree being dropped at university,reading,reading
138850,"Youthful rogue has not much ham, lettuce etc - no seconds",bitofalad,bit of a lad
18191,Annoyed that shirt's missing from counterfeit Man U strip,upinarms,up in arms
3245,Region sadly showing neglect,ignore,ignore
90110,Zero return after call for capital,dublin,dublin
460,Instrument causing damage when attached to one short whip,harmonica,harmonica
90521,Charley's Aunt erotic? Take a walk!,saunter,saunter
10947,Teacher seizes a shirt in uproar,stir,stir
44171,Parody old Bob's clothing,skit,skit
3898,Clients designed template,stencil,stencil
56034,Bar snack?,chocolate,chocolate
30668,"It's poisonous, thanks to natural mutation",tarantula,tarantula
77136,Repeated knocks make Irish twins retreat,taptap,tap tap
80064,Even up things with rate distribution,straighten,straighten
115907,Dog dirt on park for animals picked up,shihtzu,shih tzu
93872,"""Music"", which is derived from the bloody Muse",moodyblues,moody blues
18828,Meet in a bar,abut,abut
124513,"Excuse a little colour without energy, maybe, on box",pleating,pleating
19735,Gibbon's ailing somewhat due to small growth,bonsai,bonsai
98507,Wild cat's feline creature for hiding in tree,leafinsect,leaf insect
1273,Dealing with urgent checking,repressing,repressing
28458,Final appearance of US actress - good!,swansong,swansong
116004,"Uppity tramp, devout, hogging entrance to temple",bumptious,bumptious
63785,Fanatical attack to capture Baghdad's leader,rabid,rabid
52323,"Study comes to an end, keeping good time",digest,digest
123133,"Once unit has regrouped, carry on",continue,continue
52613,Roads meet in confusion round the North; they can improve things,emendators,emendators
14737,Get to the top on Tyneside?,scalene,scalene
65739,Goodly beer right for knocking back,large,large
121510,Cuts prize given to rugby players,medallions,medallions
33309,Rowan's character: nothing comic,beano,beano
71376,"""Heart of Midlothian"" follows radical dogmatist",bigot,bigot
38657,Woman in torment shows spirit,banshee,banshee
142,A channel swimmer accepts kiss from the great man,alexander,alexander
25422,It's right by the map,eastward,eastward
50376,Give name with nothing in it to fool with old gold coin,doubloon,doubloon
114838,Gathers crowds when speaking,hoards,hoards
48304,"To prepare, he corrected with eraser",rehearse,rehearse
107588,"Soap found under bum, which is sweet",spongecake,sponge cake
69792,Tilts at hint on drink,tipsup,tips up
139034,"Circling island, misplaces cultivated field",specialism,specialism
101146,Cross about anything but silent silence,muffle,muffle
121774,"Settlement of rent, once due needs to be met",encountered,encountered
116016,"Well I'm blowed! Bald, shaved and pink!",coral,coral
137028,Head of government to OK thoroughfare stopping short of scaffold,gallowstree,gallows tree
48249,Old instrument needs the sphere to ring,theorbo,theorbo
79460,Production of Haydn's oratorio,creation,creation
16252,Is he up to repairs?,tiler,tiler
116704,Green University don could become experienced,undergone,undergone
86793,It's grand to make many holes in a hot plate,griddle,griddle
96526,Disk that's not a hit with artless party,floppy,floppy
87084,Chairman's out to provide violent opposition to the government,anarchism,anarchism
46945,Blast engulfing Caribbean islands capital,darwin,darwin
117872,"Religious leader (a healer) cured flesh, receiving credit as a teacher",mohammed,mohammed
32455,Ask to tear net in pieces,entreat,entreat
113200,Old skin disease liable to drain confidence,sapego,sapego
15131,Dissipated girl in confinement,misspent,misspent
91831,Lifting a great weight is false,notso,not so
89024,"High frequency range, say, penetrating mum - is sore in the ears",megahertz,megahertz
37347,"Some styles return, returning briefly",tersely,tersely
123817,"Lively end to working week, heaven",frisky,frisky
31567,Expectant boy and European girl set about stir-crazy night hunter,pipistrelle,pipistrelle
9187,Biting right into tart,acrid,acrid
59047,Common former leader,heath,heath
106486,Wine that's held up by guys getting tight,tent,tent
122252,Where to find swimmers showing promise in class on regular basis,lidos,lidos
111353,Draw mob and see wild mayhem,disembowel,disembowel
112794,Game controller's about to take a quick look up,keeper,keeper
96120,Always right in story about trouble arising,infallible,infallible
113980,A fish in a fiddle in a former city,stalingrad,stalingrad
33968,Weapon company gets receiver in,firearm,firearm
49038,Agreement primarily sought within marriage,unison,unison
105007,Ride off a little way to old city in time to get led up the aisle,marriedinchurch,married in church
121371,"Corrects paperwork, putting top of house on in flats",proofreads,proofreads
53700,"Like china after the bull, shop being gutted when he's gone",strewn,strewn
34214,Pepper's top music arrangement,capsicum,capsicum
78502,Of course Nijinsky was one,racehorse,racehorse
61315,Chain letters?,mail,mail
103805,"Vexed about European tree such as beech, from what we hear",seashore,seashore
13705,"Bar providing energy (sustained energy), almost other-worldly",estaminet,estaminet
124729,Astronomical scale of opening novel,analemma,analemma
79371,Breathe with difficulty and gag,wheeze,wheeze
86193,Inspector gives opinion with hesitation,viewer,viewer
79649,"Docks associated with locks, we hear",quays,quays
130415,"Set fire to one reptile in sewer, according to reports",litigator,litigator
21082,Sort of spin one thus put on an issue,isotopic,isotopic
107834,Snooty head of a religious order,superior,superior
54819,Performance of coital nous in close contact,osculation,osculation
7507,Nourishment from fruit worker's consumed,aliment,aliment
128679,"Fellow clean, having removed soft muck",manure,manure
108648,Fraudulent cutie fled in disarray,deceitful,deceitful
75968,"Come down heavily, when gathering of hunters is set up",teem,teem
80354,I cut out the hard stuff when at work,stonemason,stonemason
82313,Body meeting to pledge help to golfers?,committee,committee
88362,Never return to issue concerning former volunteers,atnotime,at no time
76523,Member worried partner,mate,mate
72051,Plot developer,schemer,schemer
56688,Annoyed at being inconvenienced,putout,put out
116153,"Small tots, primarily on wheels - in these?",strollers,strollers
2750,Approval for archbishop when in a hole,plaudit,plaudit
44992,Wood that is abandoned somewhere in Africa,natal,natal
50432,Chicken causing a crowd disturbance,coward,coward
5223,Ornate enamel apt for sign,nameplate,nameplate
83215,Elaborate ornament to hang on ventilator,fandangle,fandangle
121050,"Compiler's not right, unsound - controversial debate?",polemics,polemics
49735,What sucker needs a politician?,straw,straw
101613,English writer hits cart track backing motor,turbine,turbine
86013,See one and fancy double?,lookalike,lookalike
140061,Silly argument over half a small pigeon,squab,squab
26153,Criminal gets Gill confused with ale,illegal,illegal
108393,"Wide path, a mere folly, that has its highs and lows",weathermap,weather map
91827,"Travelled free to Oxford, say, and got married",hitchedup,hitched up
90877,Wild flower round by border,oxlip,oxlip
15283,Main follower in France with projector,tenon,tenon
63244,I'm given picket duty,impost,impost
52888,Plant an hour in advance,shrub,shrub
138773,Local London football team spurned by Poles,areal,areal
120878,Massive thing lit a haven development,leviathan,leviathan
85419,Novice's a person stupid in the head,loaf,loaf
69373,Record poem about island event,episode,episode
102003,Living with old Medici reproduction,domiciled,domiciled
125914,Fold party clothes,dogear,dog ear
125578,Many a playground prank ties knot around Maggie's bottom half,wedgies,wedgies
59616,Vessels a Scottish poet topped,urns,urns
112989,University College during religious festival is brilliant,lucent,lucent
34292,Overwork Bob's followers,strain,strain
141476,NYPD case to get resolved having been shortened,syncopated,syncopated
99236,They take risks travelling outside end of slope,skiers,skiers
47882,Villainous relative slain - clues available,unclesilas,uncle silas
27334,"Expression of compliance, almost trendy?",righto,righto
53660,"Tall and skinny, first to go fishing",gangling,gangling
19872,He planted a tree using these hollow acorns,ancestor,ancestor
51494,"Within a year, US college shows understanding",amity,amity
22110,Hardy presents most of hoary tale,ollie,ollie
65222,Admits top of hanger is missing,allows,allows
62044,Tape larks when camouflaged,lapstrake,lapstrake
38456,Neighbours are in a home,nearest,nearest
30526,Minimise importance of function involving food shop,sideline,sideline
133273,Speechless about group's bagpipe,musette,musette
1880,Lecherous chap took your heart away,satyr,satyr
38670,Priestess is one Greek character Angie confused,iphigenia,iphigenia
26697,So much room for jogger?,elbow,elbow
102422,Upset at dense part of London,eastend,east end
65799,Spirit with which a certain Graf covering court runs,spectre,spectre
49333,Schematic representation of articles of faith,catechism,catechism
120194,Carrying burdens across back of mule that's slow,leaden,leaden
34463,Missionary put in mid-Wales,apostle,apostle
86654,"Calls sailor back, one's docked",names,names
58104,Country sign bearing direction that avoids the centre,lesotho,lesotho
52444,Equipment to slice nice ham,machine,machine
56339,The man leading Earth's revolution is a god,helios,helios
53508,Live as a bird and take off,beatit,beat it
103092,"I'll pay check - the man's nothing for gas, being held in disgrace without a shilling",havethisoneonme,have this one on me
109169,Vocal tribute to Japanese camper van?,nessundorma,nessun dorma
59873,Friday's child makes you shiver,frisson,frisson
97307,Can I take a butcher's consideration?,letmesee,let me see
141631,"Defenders greeted, sloping off from the front",backswept,backswept
46001,Wartime enemy heading off for the firing line,oche,oche
130770,"In Devon, a current company leader is business manager",exec,exec
128189,"Napier's figures almost right, not entirely wrong",logarithms,logarithms
134419,Hobo's besotted with bling and spirits,hobgoblins,hobgoblins
4244,Party? Try to have one,bash,bash
77747,Aim for gold? I disagree,objector,objector
18500,Serene spirit comes from this,still,still
59788,Young female FBI agent now gone private employed by Nelson?,glasseye,glass eye
135286,"Languages such as Hebrew, including old study of signs",semiotics,semiotics
111582,"We object, being placed in improper abode. Why? It's of ill repute!",bawdyhouse,bawdy house
83921,"It's of assistance to shepherd or miner, but not king",collie,collie
128438,Produced rising bill and butcher sued,caused,caused
54449,They feel it's time to have castle refurbished,tentacles,tentacles
39179,Wooden tile dashed with pebbles?,shingle,shingle
78883,Maiden possibly left port with too much luggage,overladen,overladen
38803,Raise tax during fight with deposed leader,elevate,elevate
28654,Bypass (ring road) crumbling - such a state!,colorado,colorado
54161,Philosopher managed last of apple crumble,diderot,diderot
107670,Had Belgians (or Bengalis) turned out Asian?,bangladeshi,bangladeshi
32662,They won't stand for their instruments being played,cellists,cellists
13101,This address caters for love on the allotment,oration,oration
86568,Cut that ensured Macduff's survival,caesarean,caesarean
42292,Quarrel with composer about second note of major scale,breach,breach
31939,Seeming to act as representing another,appearing,appearing
24203,"Romantic songs in silly riddle, after point for daughter",lieder,lieder
86852,Kept touring Dorset,stored,stored
115801,Sex hormone replaced on gander,androgen,androgen
64382,State nicknamed sooner rather than later: OK?,oklahoma,oklahoma
23405,Discount English book with set standard jacket,rebate,rebate
106788,Shrub grew on river in a month,rosemary,rosemary
88138,Stuff about English prince or king?,george,george
110695,Ref rants about changeover,transfer,transfer
96234,"Book about principal, not a strong head maybe, yet beginning",remainsoftheday,remains of the day
12071,"Low gear involved, finding place to park?",moorage,moorage
60822,A name is called a name,monica,monica
76701,"Left and left again, lorry finally gets round",portly,portly
95333,Here visitors may check in for a social occasion,reception,reception
673,Lofty range of latest shifts,falsetto,falsetto
83727,Distress at leaving embassy man following judge,heartache,heartache
93612,"One way to prepare food, cold, stopping on the way",encroute,en croute
17174,He composed some enjoyable harmonies,lehar,lehar
127453,German philosopher's more cheerful,gayer,gayer
32364,Clue short of perfect,idea,idea
93595,Reformed Chapel anthems used to promote the virtues of water,cheltenhamspa,cheltenham spa
64358,"Being in league, agreed to get rid of leader",allied,allied
82856,"Polish fruit, cored, is chewy",rubbery,rubbery
73695,Boost announced for Alexander's father,philip,philip
57005,Turn aside right after the avenue,avert,avert
32670,No time for checking maxim,saying,saying
1309,"Translated ""plastered""",rendered,rendered
38553,Despicable people on top,scum,scum
115468,"Awaiting summons from head of court in plain wrapper, to be returned",oncall,on call
72114,Amplifier to help retail a service,laser,laser
80728,Travel in time beyond it and back from Rome,itinerate,itinerate
121676,Combine to restrain a temper,allay,allay
84957,Clerical doctor has a bit of a scheme concerned with aspect of language,syntactic,syntactic
90475,She would pack a right in a scrap,shred,shred
75083,Head of Sheffield Wednesday is meeting Hillsborough's first Scandinavian,swedish,swedish
79404,"On North by Northwest, upset over one late director",winner,winner
51440,Letter put in fireplace reduces to carbon,graphite,graphite
32221,Restaurant cutlery,canteen,canteen
61927,Exploit dwarf,stunt,stunt
100715,Performance in which the middle section gets the twitch,bellydance,belly dance
94065,Doctor can back old GP site,monaco,monaco
5968,The Queen needs foreign money for the mission,errand,errand
82472,Good place for baby with loop,picot,picot
8368,Cloth goes with bathroom items,toiletries,toiletries
7350,First drops in wood more than adequate,ample,ample
27966,False plea men put to a jury,empanel,empanel
40630,Right nipple brought out as a special favour,treat,treat
38945,Lead present in unusual spell of rain - it's blissful,nirvana,nirvana
20340,Chief island's headgear,topis,topis
95135,Giveaway lines?,freeverse,free verse
141701,"Dearie me, I'm so disorganised - reminders needed!",aidesmemoire,aides memoire
40049,Trollop allowed a pie,tartlet,tartlet
77809,White boy finds nearest man in blue,skinhead,skinhead
112968,"When retired, managed share account",narration,narration
73262,"Judge - typical, though not posh - producing a rejection",refusal,refusal
100936,Uncultivated to blow off with loud noise,lowbrow,lowbrow
46130,These islands provide a free love style,faeroe,faeroe
52610,Endless hilarity over barber's offering,trim,trim
139370,Complaining about president is exciting,gripping,gripping
3955,Result of dropping the charge?,pricecut,price cut
138522,Making changes in device isn't encouraged,incentivised,incentivised
127798,Shank used to position these,skeandhus,skean dhus
4506,Duck has suffered on island,borneo,borneo
44503,Opening vocal variation to Elgar's first,alcove,alcove
96316,"Paper's written about conclusion to inquiry, little being an inward reference",myself,myself
8008,"Tool isn't blue, not black variety",utensil,utensil
41326,It may reveal hidden charges,minedetector,mine detector
20677,Trickery's insult to an audience,sleight,sleight
72045,City of revolutionary in duty list,rochester,rochester
126949,Monstrous party on the up through Gulf War not all bad,godawful,godawful
57628,Setter finds shelter from fight,melee,melee
28186,"To separate, cut outside page",split,split
51375,"Consents, but will be a long time coming round again",agrees,agrees
86583,Finish off incredible eastern story,tale,tale
90867,Successful escape requires them to be clean,heels,heels
105020,Pets regularly bite? Avoid!,eschew,eschew
82993,Lowers stock of the hoi polloi,herd,herd
133314,Produce charged particles and celebrate topless,ionise,ionise
57936,Incredibly small club in Finish cape,subatomic,subatomic
27317,"Surviving, once one is protected by explosive",extant,extant
45931,Screen has crimson centre and unusual rose edging,reredos,reredos
83264,Look after the ruddy whiskey!,redeye,redeye
112817,Trading jargon after Queen is swallowed by distance,mercantile,mercantile
138913,Craving for flour - is it regular?,lust,lust
94199,"Guided the unholy Tannhäuser on Rome expedition - devastated, primarily",tutored,tutored
114206,Greek island with a cat that's externally weightless,ithaca,ithaca
101298,Short skirts tempt the clergy!,ministry,ministry
123748,Plans where PM lives without owning - tense?,intends,intends
50900,Like a mother could lose a point and gain one - it's seriously relevant,material,material
90550,"Hide fortune, making run for Cuba",lurk,lurk
110569,Indications of a lot of hard drinkers going on spree,harbingers,harbingers
104466,"Aggressive libels come out, millions being lost",bellicose,bellicose
4903,"Game, or six of them, holding local up",tennis,tennis
52831,Facial hair reported to county's capital,tashkent,tashkent
3357,A French field with sailors: cancel the lesson,unlearn,unlearn
125797,Bribe a cricket side - or just one fielder,squareleg,square leg
133476,They provide poor accommodation,almshouses,almshouses
109042,Book for Sunday opening - put in the one before Easter,psalms,psalms
128816,Language used in theatre by Lawrence director tailored to fit again,readapted,readapted
784,Women's quarters and hospital are by motorway,harem,harem
74487,He says he's a Muslim leader,imam,imam
46469,Commotion curtailed on American burial place,tumulus,tumulus
17832,Josh gets scared,windup,wind up
24196,Sound conductor of German songs,lieder,lieder
29423,One good with relief work for delicate ornamentation,filigree,filigree
64543,It currently controls rose that is rambling,rheostat,rheostat
43829,Old instrument: state feminine name,rebecca,rebecca
69569,One of those sweet utterances of lovers in love,nothing,nothing
23822,Where fallen gladiators bit the sand in ancient Rome?,arena,arena
29321,Amusement park fails to open - how dishonest!,unfair,unfair
29253,Weighty communication cut by a lawyer,notable,notable
113656,Person taking money,nicker,nicker
59680,There's nothing stupid in Denmark,odense,odense
69633,Islands getting many account transfers,cayman,cayman
131619,Criminal acts at house in the middle of Trieste,villainies,villainies
48979,Spot-checks English river rising fast,speedy,speedy
113859,Expecting a delay in start of games,awaiting,awaiting
109706,Favourite uncle hurt about aunt's initial pique,petulance,petulance
60170,Free terrorists snap title up,emancipate,emancipate
76473,Boatman's a knave!,jack,jack
134236,"Mopes about, exiting Olympic Games racked with muscle pain",myalgic,myalgic
53859,Girl otherwise taking one in,elsie,elsie
118608,Reclusive boy taking issue to heart,eremitic,eremitic
71281,Old transport on river outside the city walls,extramural,extramural
78829,It's sweet of Republicans to keep banging drum,gumdrop,gumdrop
136821,Key workers?,locksmiths,locksmiths
119955,Sounds just so ill,sick,sick
42117,A rugby player thus taken by surprise,aback,aback
108118,They believe further education for sailor one solution,unitarians,unitarians
129142,Instant calls blocked by new PM's predecessors,mornings,mornings
28452,Gloria's great at the final curtain,swansong,swan song
114633,Raise glasses for final drink,bottomsup,bottoms up
42633,Tries an awful wine,retsina,retsina
53225,"Sharpen pen, but retain candour",honesty,honesty
93707,Help finish a hotel in the country,lendahand,lend a hand
29486,Duck below bedcover,eiderdown,eiderdown
50866,TV centre cut outside broadcast,studio,studio
67372,Aperture letting large number into portico,stoma,stoma
50983,"Astronomer, one in ship mostly",galileo,galileo
27513,One cuts a person who easily shifts positions,trimmer,trimmer
27600,Record awful lies about model in writing,epistle,epistle
66578,Cook insufficiently good: not a likely winner,underdog,underdog
56945,Treating people that are out to make New York happy about alien,hypnotherapy,hypnotherapy
21978,"Unconscious, potential killer withholding shelter",asleep,asleep
26693,Push out bowel movement,elbow,elbow
75843,Nonconformist church raised cross - what's the point?,crux,crux
120004,"It's instinctive with a good many, all called George",automaticpilots,automatic pilots
43802,Responding to a phone call about disturbing news,answering,answering
135398,Longing to trap learner with setter's mystic art,alchemy,alchemy
125044,Moved in secret and went ahead after complacent start to game,smuggled,smuggled
33631,Find short Arthur Dent's stripped off,unearth,unearth
100161,They are made to scale,ladders,ladders
117531,"Fountain tee shot smashed, in the President's words",stateoftheunion,state of the union
30696,A measure without point,galleon,galleon
122941,Cold tea consumed by trite reveller,bacchanal,bacchanal
140862,"After briefly not working, a head is in school again",reteach,reteach
141773,Plots involve danger close to Paris,gardens,gardens
21430,"Like ""Gone with the Wind"" for the picture industry?",epic,epic
6717,"Express approbation of last rose, perhaps",endorse,endorse
69673,Mixture of feta and rice served by a restaurant,cafeteria,cafeteria
65586,Be quick to appear in fashion,looksmart,look smart
2040,Make-up (whichever covers a cat),anatomy,anatomy
93894,"Dancers on stage refrain, in part",chorusline,chorus line
75329,Quickly read second novel,skim,skim
63800,Sailor getting damaged kept dry,abstained,abstained
104535,Test alcohol-free beer at the end (European one),dryrun,dry run
22372,Look certain after record brings revelation,disclosure,disclosure
116661,"Line in scrap, which might be cut for a cockpit",flightdeck,flight deck
30157,Old teaching assistant demonstrating pronouns,usher,usher
42104,Burrow in soil,earth,earth
87338,Fix sort of case that's curtailed,attach,attach
59237,Mark of small vehicle,scar,scar
16227,"Hot in seat, how hot it is!",phew,phew
136434,"Complex relationship ending in disaster, one in imbroglio",triangle,triangle
55791,Body cover for unexpected demise - RIP,epidermis,epidermis
81090,European noblemen depicted by American author,donmarquis,don marquis
63844,How soon will women combine with unity? An enigma,anyminutenow,any minute now
141907,Property of trees in meadows: healthy inside with sun,leafiness,leafiness
49933,"Tempestuous character - one found in Lear, perhaps",ariel,ariel
105222,Artist for the underground?,lowry,lowry
66782,Attila upset retired nut gatherer,headhunter,headhunter
84102,"Man, the soldier (an amoeba), pointlessly confined here?",guantanamobay,guantanamo bay
1972,Conciliate a parish priest with creature comforts,appease,appease
35005,Is one prepared to walk out for a wedding?,union,union
5510,Criticise long dash,panache,panache
16107,Money raised by word of mouth,bread,bread
20188,Freedom encourages my aunt to keep ducks,autonomy,autonomy
108121,Greek-speaking orator as guide (not to Tyneside),cicero,cicero
52130,It's our entitlement,name,name
85282,Reprimand means no further credit will be given,tickoff,tick off
65420,Spin prime minister's endless talk,prattle,prattle
43607,With lines or the opposite?,inverse,inverse
46005,"Line drawn in pub, no cheap drinks",oche,oche
34925,"It could contain jam, but is certainly not jammed",ajar,ajar
21975,Disturb please - on the contrary for kipper's state!,asleep,asleep
122686,"Sofa, perhaps, where Torode's first broadcast rejected by diner",twoseater,two seater
88820,Old woman wearing cosmetic? That's hard to digest!,roughage,roughage
80669,One like Napoleon artist gets to pose,strategist,strategist
46570,Treasure article lost coming from the news agency,reuters,reuters
90579,"As an old hand, reverse-called on a semiconductor device",gnarled,gnarled
133340,Lack of zip in cold ENE winds,indolence,indolence
69861,"Revival of ""Cats"" includes nothing that's by Puccini",tosca,tosca
71166,Leaver no longer a soft touch,expat,expat
20485,Devon resort's improved with non-drinking element gone,beer,beer
17749,Odd starting point for a hobby,trainspotting,trainspotting
25725,It's commonly wrong in a telegram or a letter,amoral,amoral
82148,"As a kebab, after weeks rotten and bloody",skewered,skewered
113387,Non-U physicist admitted embracing a South American,colombian,colombian
65735,Fellow keeps chalet designed for sports event,decathlon,decathlon
99648,Travel plan means one can take time on the railway,itinerary,itinerary
116070,Tenor in drunken choir fought for fort? Not in such a dialect,rhotic,rhotic
1176,"After passing, notice cycle right away",obit,obit
42414,Dependent on having bowel control when eating goat's head,contingent,contingent
121353,Rush to interrupt teacher's Grauniad hallmark?,misprints,misprints
34982,"Say ""fling about' in Scandinavia",dance,dance
67109,Nice foreign recipes,precise,precise
14712,"Previous state of party, originally backed by old Soviet leader",prussia,prussia
138451,"Walked like a confined prisoner in stockinged feet, which prevents self-harm",paddedcell,padded cell
54894,Mutant rook made a child's pet,tantrum,tantrum
111297,"Dramatist, needing work shortly, taking partners on as past peak",benjonson,ben jonson
84589,Flight for flight?,fireescape,fire escape
99294,Woman holding magazine cover,sheathe,sheathe
7336,"One in poor health, not strong",unit,unit
23020,Outlay of former writer extracting Greek character from muse,expense,expense
39161,Mean to have home care,intend,intend
14196,"About to suffer from alcohol consumption, seeing shrink",wince,wince
89459,Main inhabitant's lidless coal store placed at angle,cuttlefish,cuttlefish
75627,Instrument of top player gripping India on the radio?,sitar,sitar
41271,"Like a giraffe, it's all right to have one half pint",okapi,okapi
2097,"Guts, or heart lost in loved one",daring,daring
103755,"Fliers like trees in winter (sunless, but retaining temperature)",leaflets,leaflets
